
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,944 K
Registry                       144 Services                   0     23,708 K
smss.exe                       664 Services                   0        332 K
csrss.exe                      924 Services                   0      2,716 K
wininit.exe                    356 Services                   0      1,712 K
csrss.exe                      496 Console                    1      3,772 K
winlogon.exe                   728 Console                    1      5,064 K
services.exe                   692 Services                   0      7,336 K
lsass.exe                      504 Services                   0     17,096 K
svchost.exe                   1160 Services                   0     22,436 K
WUDFHost.exe                  1188 Services                   0      5,884 K
fontdrvhost.exe               1196 Services                   0        692 K
fontdrvhost.exe               1200 Console                    1      1,824 K
svchost.exe                   1340 Services                   0     13,820 K
svchost.exe                   1384 Services                   0      5,084 K
dwm.exe                       1468 Console                    1     89,880 K
svchost.exe                   1564 Services                   0      4,392 K
svchost.exe                   1668 Services                   0      5,192 K
svchost.exe                   1676 Services                   0      4,544 K
svchost.exe                   1712 Services                   0      7,828 K
IntelCpHDCPSvc.exe            1780 Services                   0      1,556 K
svchost.exe                   1792 Services                   0      3,948 K
svchost.exe                   1840 Services                   0      2,072 K
svchost.exe                   1860 Services                   0      4,580 K
svchost.exe                   1884 Services                   0      2,232 K
svchost.exe                   1904 Services                   0      6,844 K
svchost.exe                    780 Services                   0     13,520 K
svchost.exe                   1456 Services                   0      2,748 K
svchost.exe                   1620 Services                   0      6,436 K
IntelCpHeciSvc.exe            2096 Services                   0      1,904 K
svchost.exe                   2288 Services                   0      8,740 K
svchost.exe                   2524 Services                   0      1,928 K
svchost.exe                   2556 Services                   0     12,008 K
svchost.exe                   2648 Services                   0      6,508 K
wsc_proxy.exe                 2720 Services                   0      3,008 K
svchost.exe                   2732 Services                   0      4,464 K
svchost.exe                   2768 Services                   0      5,348 K
svchost.exe                   2780 Services                   0      1,740 K
svchost.exe                   2872 Services                   0      5,556 K
Memory Compression            2908 Services                   0     95,884 K
igfxCUIService.exe            3000 Services                   0      3,076 K
svchost.exe                   2112 Services                   0     18,336 K
svchost.exe                   2216 Services                   0      2,352 K
WUDFHost.exe                  3092 Services                   0      6,372 K
svchost.exe                   3120 Services                   0      4,096 K
svchost.exe                   3128 Services                   0      2,508 K
svchost.exe                   3136 Services                   0      4,620 K
svchost.exe                   3256 Services                   0      2,936 K
svchost.exe                   3296 Services                   0      3,828 K
svchost.exe                   3400 Services                   0      8,808 K
WUDFHost.exe                  3416 Services                   0      4,328 K
svchost.exe                   3500 Services                   0      5,656 K
svchost.exe                   3508 Services                   0      2,960 K
svchost.exe                   3524 Services                   0      4,436 K
svchost.exe                   3712 Services                   0      4,228 K
svchost.exe                   3828 Services                   0     10,772 K
svchost.exe                   3856 Services                   0      3,764 K
AvastSvc.exe                  3872 Services                   0    171,500 K
svchost.exe                   3916 Services                   0      3,188 K
svchost.exe                   3924 Services                   0      4,084 K
wlanext.exe                   4144 Services                   0      2,712 K
conhost.exe                   4156 Services                   0      1,320 K
aswToolsSvc.exe               4236 Services                   0     56,372 K
svchost.exe                   4308 Services                   0     15,644 K
spoolsv.exe                   4428 Services                   0      4,584 K
svchost.exe                   4716 Services                   0      9,380 K
svchost.exe                   4724 Services                   0      7,592 K
svchost.exe                   4732 Services                   0     23,316 K
OfficeClickToRun.exe          4744 Services                   0     17,088 K
DAX3API.exe                   4784 Services                   0      5,996 K
svchost.exe                   4804 Services                   0     17,472 K
FMService64.exe               4836 Services                   0      3,596 K
OneApp.IGCC.WinService.ex     4844 Services                   0      7,980 K
IpOverUsbSvc.exe              4916 Services                   0      5,084 K
esif_uf.exe                   4944 Services                   0      2,156 K
svchost.exe                   4960 Services                   0      6,924 K
mongod.exe                    5020 Services                   0     22,848 K
LMS.exe                       5032 Services                   0      4,704 K
pg_ctl.exe                    5052 Services                   0      1,488 K
svchost.exe                   5060 Services                   0      4,468 K
svchost.exe                   5068 Services                   0      2,308 K
svchost.exe                   3200 Services                   0      1,576 K
RtkAudUService64.exe          4164 Services                   0      4,664 K
Updater.exe                   5176 Services                   0      8,240 K
svchost.exe                   5204 Services                   0     13,048 K
